granule_uid,star_name,mass,mass_error_min,mass_error_max,pl_massjlim,radius,radius_error_min,radius_error_max,pl_radjlim,rv_flag,tran_flag,ttv_flag,ima_flag,star_spec_type,flag_mE,flag_rE,mass_detection_type,radius_detection_type,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,pl_orbsmaxlim,period,period_error_min,period_error_max,pl_orbperlim,impact,inclination,star_teff,star_radius,star_mass,star_age,star_metallicity,st_metratio,st_lum,sy_snum,st_rotp,sy_pnum,cb_flag,ra,sy_dist,st_recentVenus,st_runawayGreenhouse,st_maxGreenhouse,st_earlyMars,st_half_Earth,st_five_Earth,age_flame,logg_gspphot,mass_flame,mh_gspphot,mh_gspspec,radius_flame,radius_gspphot,teff_esphs,teff_espucd,teff_gspphot,teff_gspspec,teff_msc1,ew_espels_halpha,ew_espels_halpha_model,ew_espels_halpha_flag,ew_espels_halpha_uncertainty
Kepler-32 e,Kepler-32,,,,,0.127,-0.004,0.005,,,1.0,,,M1 V,False,False,,,0.0318,-0.0005,0.0005,,2.89602274,-9.28e-06,9.28e-06,,0.082,89.65,3791.0,0.57,0.57,2.69,-0.02,[Fe/H],-1.212,1.0,,5.0,,297.8423073,323.847,1.507698740764593,0.9397234012590683,0.2564151118975596,0.23047926267868218,1.0084575465255121,0.8366340580975858,,,,,,,,,,,,4083.7177734375,-0.05208795890212059,-0.28376099467277527,1,0.05123458802700043
Kepler-32 f,Kepler-32,,,,,0.151,-0.013,0.037,,,1.0,,,M1 V,False,False,,,0.0128,-0.0002,0.0002,,0.74295905,-1.18e-06,1.18e-06,,0.162,88.93,3791.0,0.57,0.57,2.69,-0.02,[Fe/H],-1.212,1.0,,5.0,,297.8423073,323.847,1.507698740764593,0.9397234012590683,0.2564151118975596,0.23047926267868218,1.0084575465255121,0.8366340580975858,,,,,,,,,,,,4083.7177734375,-0.05208795890212059,-0.28376099467277527,1,0.05123458802700043
Kepler-446 b,Kepler-446,0.014,0.002,0.002,,0.102,-0.003,0.005,,1.0,1.0,,,M4,True,False,Theoretical,,0.0182,,,,1.56541222,-1.72e-06,1.72e-06,,0.003,89.99,3386.0,0.22,0.19,3.72,-0.14,[Fe/H],-2.248,1.0,,3.0,,282.2501047,96.339,1.4908445562732855,0.9292356143837309,0.24356407097494143,0.21892396531947153,0.9973648651217534,0.8265441841350887,,4.966899871826172,,-0.6796000003814697,,0.232999786734581,0.2379000037908554,,,3376.080810546875,,3140.65234375,-0.3635287880897522,-1.1528979539871216,1,0.0896642878651619
Kepler-446 c,Kepler-446,0.009,0.003,0.003,,0.083,-0.003,0.004,,1.0,1.0,,,M4,True,False,Theoretical,,0.0283,,,,3.03620572,-8.08e-06,8.08e-06,,0.111,89.75,3386.0,0.22,0.19,3.72,-0.14,[Fe/H],-2.248,1.0,,3.0,,282.2501047,96.339,1.4908445562732855,0.9292356143837309,0.24356407097494143,0.21892396531947153,0.9973648651217534,0.8265441841350887,,4.966899871826172,,-0.6796000003814697,,0.232999786734581,0.2379000037908554,,,3376.080810546875,,3140.65234375,-0.3635287880897522,-1.1528979539871216,1,0.0896642878651619
Kepler-446 d,Kepler-446,0.01,0.003,0.003,,0.102,-0.008,0.02,,1.0,1.0,,,M4,True,False,Theoretical,,0.0403,,,,5.14893066,-1.221e-05,1.221e-05,,0.719,88.68,3386.0,0.22,0.19,3.72,-0.14,[Fe/H],-2.248,1.0,,3.0,,282.2501047,96.339,1.4908445562732855,0.9292356143837309,0.24356407097494143,0.21892396531947153,0.9973648651217534,0.8265441841350887,,4.966899871826172,,-0.6796000003814697,,0.232999786734581,0.2379000037908554,,,3376.080810546875,,3140.65234375,-0.3635287880897522,-1.1528979539871216,1,0.0896642878651619
Kepler-49 b,Kepler-49,0.02517,-0.00503,0.00598,,0.233,-0.007,0.007,,,1.0,1.0,,M1 V,False,False,,,0.0595,-0.00227,0.00227,,7.20385586,-5.92e-06,5.92e-06,,0.037,89.9,4011.0,0.67,0.63,2.88,-0.02,[Fe/H],-0.984,1.0,,4.0,,292.2945208,311.222,1.52081708559089,0.947894768853444,0.264392738147993,0.23765175559781038,1.017157497724331,0.8443537484999281,11.581079483032227,4.635700225830078,0.6642073392868042,0.27889999747276306,,0.6600279211997986,0.6583999991416931,,,4239.80908203125,,4093.755859375,-0.13335581123828888,-0.22982800006866455,1,0.03614925593137741
Kepler-49 c,Kepler-49,0.01856,-0.00472,0.00472,,0.22,-0.014,0.021,,,1.0,1.0,,M1 V,False,False,,,0.0785,-0.003,0.003,,10.91274065,-1.465e-05,1.465e-05,,0.685,88.68,4011.0,0.67,0.63,2.88,-0.02,[Fe/H],-0.984,1.0,,4.0,,292.2945208,311.222,1.52081708559089,0.947894768853444,0.264392738147993,0.23765175559781038,1.017157497724331,0.8443537484999281,11.581079483032227,4.635700225830078,0.6642073392868042,0.27889999747276306,,0.6600279211997986,0.6583999991416931,,,4239.80908203125,,4093.755859375,-0.13335581123828888,-0.22982800006866455,1,0.03614925593137741
Kepler-49 d,Kepler-49,,,,,0.163,-0.005,0.005,,,1.0,1.0,,M1 V,False,False,,,0.03,-0.00114,0.00114,,2.5765676,-2.54e-06,2.54e-06,,0.187,89.14,4011.0,0.67,0.63,2.88,-0.02,[Fe/H],-0.984,1.0,,4.0,,292.2945208,311.222,1.52081708559089,0.947894768853444,0.264392738147993,0.23765175559781038,1.017157497724331,0.8443537484999281,11.581079483032227,4.635700225830078,0.6642073392868042,0.27889999747276306,,0.6600279211997986,0.6583999991416931,,,4239.80908203125,,4093.755859375,-0.13335581123828888,-0.22982800006866455,1,0.03614925593137741
Kepler-49 e,Kepler-49,,,,,0.158,-0.006,0.007,,,1.0,1.0,,M1 V,False,False,,,0.112,,,,18.59621032,-5.106e-05,5.106e-05,,0.014,89.99,4011.0,0.67,0.63,2.88,-0.02,[Fe/H],-0.984,1.0,,4.0,,292.2945208,311.222,1.52081708559089,0.947894768853444,0.264392738147993,0.23765175559781038,1.017157497724331,0.8443537484999281,11.581079483032227,4.635700225830078,0.6642073392868042,0.27889999747276306,,0.6600279211997986,0.6583999991416931,,,4239.80908203125,,4093.755859375,-0.13335581123828888,-0.22982800006866455,1,0.03614925593137741
Kepler-52 b,Kepler-52,0.25,-0.125,0.148,,0.194,-0.009,0.011,,,1.0,1.0,,M0 V,False,False,,,0.0665,-0.00272,0.00272,,7.8774163,-1.493e-05,1.493e-05,,0.041,89.92,4116.0,0.68,0.64,3.55,0.04,[Fe/H],-0.928,1.0,,3.0,,286.7380152,321.542,1.528332842366927,0.9525778308301783,0.268476515272622,0.2413232203240833,1.0221558229792194,0.8487425087928403,,,,,,,,,,,,4397.86328125,-0.04232519865036011,-0.1469859927892685,1,0.03780501335859299
